City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
500,pangody,65.85,74.4859,-14.03,94,99,5.84,RU,1675917096
501,tungor,53.3808,142.9564,-26.86,89,92,6.82,RU,1675917097
502,coihaique,-45.5752,-72.0662,17.97,68,75,2.06,CL,1675917097
503,talnakh,69.4865,88.3972,-19.33,95,100,4.08,RU,1675916956
504,kapit,2.0167,112.9333,32.63,54,77,0.3,MY,1675916922
505,warren,39.4334,-84.1666,10.01,89,100,4.63,US,1675917007
506,lerwick,60.1545,-1.1494,5.0,67,97,15.09,GB,1675917099
507,marsh harbour,26.5412,-77.0636,22.6,62,7,8.09,BS,1675917100
508,madimba,-10.4,40.3333,26.69,83,100,3.9,TZ,1675917100
509,bismarck,46.8083,-100.7837,1.56,80,0,6.69,US,1675917000
510,victor harbor,-35.5667,138.6167,35.93,43,0,3.19,AU,1675917101
511,teruel,40.6667,-0.6667,-2.66,99,99,0.9,ES,1675917102
512,dingle,10.9995,122.6711,27.76,73,95,6.93,PH,1675917102
513,port macquarie,-31.4333,152.9167,25.5,58,100,5.54,AU,1675916811
514,daru,-9.0763,143.2092,28.41,82,94,4.13,PG,1675917103
515,kiunga,-6.1219,141.2906,27.14,86,100,2.69,PG,1675916908
516,matera,40.5,16.4167,3.52,68,100,1.99,IT,1675917104
517,soure,-0.7167,-48.5233,25.01,87,100,2.86,BR,1675917104
518,mazamari,-11.3258,-74.5308,20.06,99,81,1.0,PE,1675917105
519,rio branco,-9.9747,-67.81,23.34,100,75,1.54,BR,1675916960
520,kandrian,-6.2167,149.55,26.89,85,100,6.64,PG,1675917106
521,beyla,8.6833,-8.6333,22.61,77,81,0.95,GN,1675917106
522,leua,48.2156,18.6071,-4.59,76,2,1.91,SK,1675917107
523,ilhabela,-23.7781,-45.3581,22.71,88,10,1.73,BR,1675917107
524,port moresby,-9.4431,147.1797,30.68,70,40,7.72,PG,1675917108
525,los reyes,19.35,-98.9667,17.17,45,40,3.09,MX,1675917108
526,kaitangata,-46.2817,169.8464,14.46,51,84,4.81,NZ,1675917109
527,havoysund,70.9963,24.6622,2.13,59,100,10.18,NO,1675917110
528,adrar,20.5022,-10.0711,18.92,16,98,2.6,MR,1675917110
529,astoria,46.1879,-123.8313,8.25,75,100,2.57,US,1675917045
530,manta,-0.95,-80.7333,26.88,83,40,1.03,EC,1675917111
531,itarema,-2.9248,-39.9167,24.97,80,96,3.38,BR,1675917111
532,kocevje,45.6433,14.8633,-3.57,95,100,1.71,SI,1675917112
533,maumere,-8.6199,122.2111,28.25,76,96,3.37,ID,1675917112
534,opuwo,-18.0607,13.84,17.47,41,45,1.65,NA,1675917113
535,syktyvkar,61.6764,50.8099,-4.15,92,75,3.13,RU,1675917047
536,sibolga,1.7427,98.7792,30.04,58,61,2.54,ID,1675917113
537,mehamn,71.0357,27.8492,1.95,86,75,12.86,NO,1675917114
538,neuquen,-38.9516,-68.0591,27.33,32,0,2.02,AR,1675917114
539,pochutla,15.7432,-96.4661,23.79,53,0,1.99,MX,1675917115
540,lufkin,31.3382,-94.7291,9.15,89,0,0.0,US,1675917054
541,srirampur,22.9489,88.0189,27.56,30,1,3.73,IN,1675917116
542,taunggyi,20.7833,97.0333,23.63,17,24,1.54,MM,1675917116
543,nuuk,64.1835,-51.7216,-2.41,96,100,7.42,GL,1675917117
544,lumut,4.2323,100.6298,30.01,70,20,1.54,MY,1675917117
545,chapais,49.7834,-74.8492,-22.12,100,70,1.36,CA,1675917118
546,crewe,53.0979,-2.4416,6.12,89,98,1.34,GB,1675917118
547,cairns,-16.9167,145.7667,26.73,89,100,5.66,AU,1675917119
548,rundu,-17.9333,19.7667,18.2,94,100,2.2,NA,1675917119
549,hirado,33.3597,129.5531,12.99,53,99,6.46,JP,1675917120
550,coruripe,-10.1256,-36.1756,24.67,78,90,2.25,BR,1675917120
551,shimoda,34.6667,138.95,10.2,53,93,5.43,JP,1675917001
552,llata,-9.4167,-76.7833,10.54,88,69,1.09,PE,1675917122
553,kattivakkam,13.2167,80.3167,27.05,60,83,2.04,IN,1675917125
554,bulaevo,54.9056,70.4439,-17.78,94,100,4.42,KZ,1675917127
555,pacific grove,36.6177,-121.9166,11.42,87,0,2.06,US,1675917128
556,saint-georges,12.0564,-61.7485,25.82,78,40,2.57,GD,1675916918
557,price,39.5994,-110.8107,0.06,63,100,8.75,US,1675916881
558,kieta,-6.2167,155.6333,29.01,71,100,3.03,PG,1675917134
559,darhan,49.4867,105.9228,-14.89,85,31,1.77,MN,1675917136
560,buchanan,5.8808,-10.0467,25.01,88,66,1.02,LR,1675917138
561,charlestown,-32.95,151.6667,25.94,73,100,0.89,AU,1675917055
562,flinders,-34.5833,150.8552,23.43,85,100,4.92,AU,1675917142
563,luga,58.7372,29.8453,-1.06,89,99,4.97,RU,1675917148
564,tukrah,32.5341,20.5791,10.84,71,79,16.36,LY,1675917152
565,trincomalee,8.5711,81.2335,26.87,70,96,4.73,LK,1675917155
566,atyrau,47.1167,51.8833,-20.99,77,5,2.0,KZ,1675917001
567,nong ki,14.6868,102.538,33.06,37,8,2.03,TH,1675917157
568,el viejo,12.6633,-87.1672,24.23,64,1,1.16,NI,1675917157
569,panzhihua,26.5851,101.7128,19.69,28,0,0.65,CN,1675917158
570,fort nelson,58.8053,-122.7002,-13.92,93,20,1.54,CA,1675917158
